loan_id	business_name	loan_amount	loan_status	city	state	approval_date	bank_name	naics_code	jobs_retained
68	Manning Group	394750.38	Approved	Greenbury	OH	2022-06-25	Bank of America	593554	15
69	Washington, Allen and Gonzales	103788.55	Denied	Jimmymouth	PA	2022-11-04	Wells Fargo	960394	15
70	Miller, Hernandez and Reyes	115347.16	Approved	Lake Jason	OH	2023-08-26	Wells Fargo	392136	5
71	Rivera-Owens	483610.11	Denied	East Marissafurt	PA	2025-02-02	US Bank	519093	44
72	Smith, Gilmore and Johnston	490669.1	Denied	Smithstad	CA	2022-08-30	Bank of America	373903	12
73	Castaneda-Ashley	292391.92	Denied	Medinaside	CA	2021-12-31	Bank of America	725550	28
74	Robinson-Graham	176115.12	Denied	South Matthewfurt	OH	2021-07-11	US Bank	636265	8
75	Calhoun-Hooper	195671.74	Approved	South Brittanytown	IL	2020-11-01	Bank of America	843215	28
76	Patterson, Camacho and White	5837.18	Approved	Nicholasborough	PA	2023-12-28	Citibank	173372	43
77	Rogers-Hobbs	460781.57	Denied	Karenchester	NY	2022-04-08	Wells Fargo	631756	20
78	Ruiz Ltd	335111.99	Denied	West Jeffreyland	OH	2020-06-19	Wells Fargo	681343	9
79	Herring and Sons	99960.85	Denied	New Elijahberg	TX	2024-02-25	US Bank	696750	20
80	Wilson, Gould and Marshall	206007.21	Approved	Katieburgh	IL	2021-02-04	Wells Fargo	320392	28
81	Oconnell Inc	393950.62	Denied	West Barbarafurt	GA	2023-07-01	Citibank	563638	44
82	Gonzalez, Vargas and Rivas	110782.19	Denied	North Heidi	TX	2022-09-08	Bank of America	397571	33
83	Burke, Martinez and Riggs	333607.65	Denied	West Amandastad	NY	2020-09-16	Chase	805477	20
84	Holland, Smith and Fisher	116197.13	Approved	Garciastad	TX	2024-01-13	Bank of America	148458	16
85	Hernandez, Thompson and Boyd	492048.33	Approved	Christinaside	GA	2024-03-27	Citibank	760356	37
86	Graham-Simon	101245.44	Denied	Marcusbury	GA	2020-11-10	Citibank	355836	10
87	Keith-Sanchez	329748.72	Approved	Hudsonfurt	NY	2022-12-26	Citibank	329471	12
88	Snyder LLC	403034.38	Denied	South Jason	CA	2022-04-27	US Bank	361303	8
89	Ramirez-Carlson	230948.6	Denied	Angelahaven	NC	2021-09-30	US Bank	724377	21
90	Allen Group	475269.61	Denied	Petersbury	MI	2024-03-04	US Bank	547470	36
91	Joseph, West and Smith	225727.24	Approved	Jeffreybury	GA	2022-09-23	Citibank	371782	49
92	Perkins, Kennedy and Schmidt	127383.67	Denied	Barajasside	NC	2022-12-08	Citibank	757193	16
93	Warner-Nelson	140925.74	Approved	Jerryborough	IL	2022-10-22	Chase	384913	22
94	Newton Ltd	163256.24	Approved	East Javier	TX	2024-03-29	Chase	342495	25
95	Hardy-Bray	348505.16	Approved	Tinaborough	NY	2022-08-23	Citibank	527398	22
96	Ward LLC	273592.51	Denied	Lake Amandaview	CA	2020-07-05	Chase	973349	27
97	Tran Ltd	197791.02	Approved	Lake Miranda	MI	2024-04-19	Citibank	600149	1
98	Salas PLC	471657.12	Denied	Taylormouth	OH	2023-01-08	Citibank	664365	48
99	Sheppard LLC	368643.86	Approved	Wilsonland	GA	2023-07-13	Chase	386193	28
100	Jones-Soto	245392.79	Denied	East Edwardshire	PA	2022-09-15	Citibank	859359	11
